question,answer,URL
What is Bhopal Development Authority (BDA)?,"The Bhopal Development Authority (BDA) is the principal agency for planning, development, and management of urban infrastructure in Bhopal and its peripheries. On its website it states: 'BDA is whole sole responsible for the infrastructural development of the city … to plan and implement the Residential, Commercial, and Public sector development.'",https://bda.org.in/AboutUs.aspx
When was BDA established?,"The BDA was institutionalized on 2 October 1976. It was created under the Bhopal Development Authority Act, 1974, by the Government of Madhya Pradesh.",https://bda.org.in/AboutUs.aspx
Who is the current Chairman and CEO of BDA?,"Chairman: Shri Sanjeev Singh (IAS), CEO: Shri Shyambir (IAS)",https://bda.org.in/HomePage.aspx
Where is the BDA office located?,"Pragati Bhawan, Press Complex, MP Nagar, Zone 1, Bhopal, Madhya Pradesh, India, Pin 462011",
What are the office timings?,Not officially mentioned on the site. Likely standard government hours (10:30 AM to 5:30 PM).,
How can I contact BDA officials?,"Phone: 07552555670, Email: info@bda.org.in",https://bda.org.in/ContactUs.aspx
What departments are there in BDA?,"Planning / Town & Country Planning, Architecture / Urban Design, Engineering / Infrastructure, Revenue / Land / Allotments, Public Relations / Citizen Services, Finance / Accounts, Investment Cell, Tender & Contracts",
What major achievements has BDA completed so far?,"Implementation of housing projects (Mansarovar, Raksha Vihar), Development of business centers, shopping complexes, and public infrastructure, Beautification projects and road development, Construction of BDA Headquarters (Architect: Anant Raje)",
What development projects are listed on the BDA homepage?,"Examples include Misrod Phase1, Misrod Phase2, Aerocity Phase1, Rajabhoj Residential Scheme, Vidyanagar Phase2, Katara Hills Scheme, and MisrodBarrai Road.",
What are the ongoing projects?,"Ongoing: Misrod Phase1 & 2, Aerocity Phase1, Rajabhoj Residential Scheme, Vidyanagar Phase2, Katara Hills Scheme, MisrodBarrai Road.",https://bda.org.in/ContactUs.aspx
What are the upcoming projects planned by BDA?,"Upcoming: Office complex near old Vidhan Sabha, Commercial complex at Vidya Nagar, Residential/commercial complexes at Panchsheel Nagar, Shahpura markets.",https://bda.org.in/ContactUs.aspx
What are the completed or achieved projects?,"Completed: Mansarovar Residential, Raksha Vihar, BDA Headquarters, Master Plan roads and amenities.",https://bda.org.in/ContactUs.aspx
How can I apply for a plot in a BDA project?,Visit https://bda.org.in → Citizen Services → Online Application and fill the respective scheme form.,
What housing schemes are currently available?,"Aerocity, Rajabhoj Scheme, Katara Hills, Vidyanagar Phase2, Affordable Housing Scheme (Salaiya).",
What is the Affordable Housing Scheme by BDA?,"An affordable housing initiative (e.g., BDA Affordable Housing Scheme Salaiya) for low and middle-income groups under RERA ID PBPL.",https://bda.org.in/Presentation/frmSchemeWiseAlloteesList.aspx
What is the Popular Yojna shown on the homepage?,A featured section on the homepage listing the most-used public schemes.,https://bda.org.in/HomePage.aspx
How do I Pay Lease Rent online?,Go to 'Pay Lease Rent' under Citizen Services on BDA’s homepage.,https://bda.org.in/Demand/Frm_GenerateLeaseDemand.aspx
How can I Pay using a Challan Number?,Use the 'Pay Using Challan No.' option under Citizen Services.,https://bda.org.in/presentation/frmPaymentUsingDemandNo.aspx
How can I Reprint my Payment Receipt?,Click 'Reprint Payment Receipt' under Citizen Services.,https://bda.org.in/presentation/FrmPrintPaymentReceipt.aspx
How do I Search for my Property online?,Use 'Property Search' under Citizen Services on BDA’s homepage.,https://bda.org.in/Presentation/frmPropertySearch.aspx
How do I view the Scheme-wise Allottee List?,Select 'Scheme Wise Allotees List' under Citizen Services to view allotments.,https://bda.org.in/Presentation/frmPropertySearch.aspx
What are the latest active tenders?,"Examples: Aero City Phase1 Commercial Plot tender, Misrod-Barrai Road tender, etc.",https://bda.org.in/Presentation/frmPropertySearch.aspx
How can I download tender documents?,Go to the tender listing page and click 'View Notice' to download tender files.,https://bda.org.in/Presentation/FrmTender.aspx
How can I contact BDA for queries or support?,"Phone: 07552555670, Email: info@bda.org.in, Visit: Pragati Bhawan, MP Nagar, Zone 1, Bhopal.",https://bda.org.in/ContactUs.aspx
What is the contact number of the BDA head office?,07552555670,https://bda.org.in/ContactUs.aspx
What is the email address for public queries?,info@bda.org.in,https://bda.org.in/ContactUs.aspx
How do I log in as a BDA employee?,Visit the internal ERP portal from the BDA website and use your employee ID and password to log in.,
How can I reset my password?,Click on the 'Forgot Password' option on the ERP login page and follow the instructions to reset your password.,
How do I track my online application status?,Go to 'Citizen Services' → 'Track Application' and enter your application number.,https://bda.org.in/presentation/FrmPrintPaymentReceipt.aspx
What is the process for transferring BDA property ownership?,Submit a property transfer application with required documents at the BDA office or online through the Citizen Services portal.,
 What is the internal portal login for BDA employees?,Employees can access the ERP login through the internal BDA link available on the homepage under 'Employee Corner'.,
 How to update my employee profile in BDA's system?,Log in to your ERP account and go to 'Profile Settings' to update your personal details,
What is the process for property mutation with BDA?,Property mutation requests can be made online through the 'Citizen Services' section by submitting required ownership documents.,
What type of development work does BDA handle?,"BDA handles housing, commercial buildings, roads, parks, and public utility infrastructure development.",
 What is the vision and mission of BDA?,"BDA aims to plan sustainable urban growth, provide affordable housing, and develop modern infrastructure for citizens.",https://bda.org.in/frmVision_mission.aspx
Who is the Hon’ble Chief Minister of Madhya Pradesh?,Hon’ble Chief Minister: Shri Mohan Yadav.,https://bda.org.in/HomePage.aspx
Who is the Hon’ble Minister for Urban Development and Housing Department?,Hon’ble Minister: Shri Kailash Vijayvargiya.,
What are internal features for CEO’s approval workflows?,"BDA’s ERP system allows digital file movement, approval tracking, and status monitoring for CEO-level approvals.",
Is there availability of plots in new BDA-developed areas?,"Yes, BDA regularly announces new residential and commercial plots under various schemes. Visit the 'Public Notification' section for updates.",
 Are there any BDA properties available near Bhopal city center?,"Yes, several schemes near MP Nagar, Shahpura, and Vidya Nagar offer plots and flats close to the city center.",
How to search for a property by Scheme Name on bda.org.in?,Select the scheme name from the dropdown list in the Property Search section.,https://bda.org.in/Presentation/frmPropertySearch.aspx
Can I search for a specific Plot Number on the BDA site?,Enter your plot number in the Property Search field to view its status and details.,https://bda.org.in/Presentation/frmPropertySearch.aspx
How to access the Tender & Notice section on bda.org.in?,Click Tenders on the homepage menu to view all current notices and project details.,https://bda.org.in/Presentation/FrmTender.aspx
